,name,aroma,colour,country_of_origin,family,flavour,ingredients,producers,region,rind,texture,type,vegetarian,synonyms,fat_content,alternative_spellings,calcium_content,fat_content_(in_dry_matter)
1487,saint-paulin,milky,white,france,saint-paulin,"buttery, nutty",pasteurized cow's milk,fromagerie fritz kaiser,brittany,washed,creamy and firm,"semi-soft, artisan",yes,,40%,,,
1488,saint-rose,"grassy, mild",pale yellow,united states,,"citrusy, floral, nutty, sharp",unpasteurized sheep's milk,weirauch farm and creamery,california,natural,firm,"semi-soft, artisan",yes,,,st. rose,,
1489,sainte-maure,,white,france,,"acidic, buttery",pasteurized or unpasteurized goat's milk,various,loire,mold ripened,smooth and soft-ripened,"semi-soft, artisan",no,sainte-maure de touraine,45%,saint ​​maure,,
1490,salemville-amish-blue,"earthy, rich",ivory,united states,blue,"creamy, earthy",cow's milk,"dci cheese company, inc",wisconsin,,creamy and crumbly,"semi-soft, artisan, blue-veined",,salemville reserve,,,,
1491,salemville-amish-gorgonzola,"earthy, rich",ivory,united states,blue,"creamy, earthy, piquant",cow's milk,"dci cheese company, inc",wisconsin,,creamy and crumbly,"semi-soft, artisan, blue-veined",,,,,,
1492,salemville-smokehaus-blue,"earthy, rich, smokey",ivory,united states,blue,"creamy, smokey",cow's milk,"dci cheese company, inc",wisconsin,,creamy,"semi-soft, artisan, blue-veined",,,,,,
1493,salers,,red,france,,"fruity, spicy",unpasteurized cow's milk,bonal family,"auvergne, salers",,,semi-hard,no,,,,,
1494,salsa-asiago,"aromatic, nutty, pungent",pale yellow,united states,,"creamy, garlicky, nutty, sharp, spicy",pasteurized cow's milk,sartori,wisconsin,natural,"compact, firm, open and smooth","hard, artisan",yes,,,,,
1495,saltbush_chevre,"goaty, grassy, herbal",white,australia,,"acidic, grassy, herbaceous, salty",pasteurized goat's milk,woodside cheese wrights,south australia,rindless,creamy,"fresh firm, artisan",yes,,45%,,,
1496,samso,,yellow,denmark,,"nutty, sour, sweet",pasteurized cow's milk,,,waxed,supple,semi-hard,no,,30-45%,,,
1497,san-andreas,"clean, mild, rich",straw,united states,,"butterscotch, nutty, sweet",unpasteurized sheep's milk,bellwether farms,california,natural,"creamy, firm, open and smooth","hard, artisan",yes,,,,,
1498,san-geronimo,earthy,white,united states,,"acidic, meaty, mellow, mild, tangy, tart",pasteurized cow's milk,nicasio valley cheese company,nicasio,washed,smooth,"semi-soft, brined",no,,,,,
1499,sancerre,,,france,,"nutty, strong",goat's milk,,,natural,,hard,no,,40%,,,
1500,sandy-creek,"earthy, grassy",ivory,united states,,"citrusy, lemony, mushroomy, tangy",pasteurized goat's milk,goat lady dairy,north carolina,mold ripened,runny and smooth,"soft, soft-ripened",yes,,,,,
1501,sao-jorge,"earthy, grassy, mild, musty, spicy",golden yellow,portugal,,"buttery, earthy, grassy, mild, pronounced, sour, spicy, tangy",unpasteurized cow's milk,,azores,natural,"chalky, crumbly, firm, open and supple",semi-hard,no,"st. george, queijo são jorge, s. jorge cheese",,,,
1502,sap-sago,,green,,,,,,canton of glarus,natural,,,yes,"swiss green cheese, schabziger",0.8 g/100g,sapsago,,
1503,saporito,herbal,ivory,italy,,"creamy, mild",pasteurized cow's milk,moro latteria di moro sergio,"treviso, veneto",natural,creamy,"semi-hard, artisan",,,,,,
1504,sardo,,pale yellow,argentina,,"full-flavored, mild, salty",pasteurized cow's milk,,,natural,"crumbly, firm, flaky, grainy and smooth","semi-hard, hard",no,,,"argentine sardo, sardo argentino",,
1505,sarro-de-cabra,"mild, sweet",white,spain,,"citrusy, strong, tangy",pasteurized goat's milk,formatgeries montbrú,barcelona,cloth wrapped,buttery,"semi-soft, artisan",,sarro,,,,
1506,sartori-classic-cheese-asiago,pungent,,united states,,"creamy, mild, nutty",pasteurized cow's milk,sartori,wisconsin,natural,"compact, crumbly, open and smooth","hard, artisan",yes,,,,,
1507,sartori-classic-cheese-fontina,"aromatic, lactic",pale yellow,united states,,"creamy, nutty, smooth, sweet",pasteurized cow's milk,sartori,wisconsin,natural,creamy,"semi-soft, artisan",yes,,,,,
1508,sartori-classic-cheese-parmesan,,yellow,united states,parmesan,"mellow, nutty, sweet",pasteurized cow's milk,sartori,wisconsin,natural,"crumbly, dry and grainy","hard, artisan",yes,,,,,
1509,sartori-classic-cheese-romano,spicy,straw,united states,,"nutty, savory, tangy",pasteurized cow's milk,sartori,wisconsin,natural,"brittle, crumbly, dense and flaky","hard, artisan",yes,,,,,
1510,sartori-classic-montamore,"fresh, fruity, pleasant",pale yellow,united states,parmesan,"creamy, fruity, sweet, tangy",pasteurized cow's milk,sartori,wisconsin,rindless,dense and firm,"semi-hard, artisan",yes,,,,,
1511,sartori-limited-edition-cannella-bellavitano,"fresh, rich",pale yellow,united states,,"buttery, fruity, mild, sweet",pasteurized cow's milk,sartori,wisconsin,,creamy,hard,yes,,,,,
1512,sartori-limited-edition-cognac-bellavitano,"nutty, smokey",,united states,,"buttery, mild, smokey , sweet",pasteurized cow's milk,sartori,northern wisconsin,,creamy,hard,yes,,,,,
1513,sartori-limited-edition-extra-aged-goat,"mild, pleasant",,united states,,"mild, savory",pasteurized goat's milk,sartori,wisconsin,,creamy,"semi firm, artisan",,,,,,
1514,sartori-limited-edition-family-heirloom-bellavitano,"fermented, grassy, rich",pale yellow,united states,,"full-flavored, strong, sweet",pasteurized cow's milk,sartori,wisconsin,natural,crumbly and dry,"hard, artisan",yes,,,,,
1515,sartori-limited-edition-family-heirloom-parmesan,"buttery, nutty, woody",golden yellow,united states,parmesan,"caramel, fruity, nutty, piquant, sweet",pasteurized cow's milk,sartori,wisconsin,natural,"crumbly, flaky and grainy","hard, artisan",yes,,,,,
1516,sartori-limited-edition-pastorale-blend,"earthy, nutty, sweet",pale yellow,united states,,"nutty, sweet",pasteurized cow's and sheep's milk,sartori,wisconsin,natural,creamy,"semi-hard, artisan",,,,,,
1517,sartori-reserve-balsamic-bellavitano,"earthy, fruity, sweet",,united states,,"fruity, nutty, sweet, tangy",pasteurized cow's milk,sartori,wisconsin,,firm,hard,,,,,,
1518,sartori-reserve-basil-olive-oil-asiago,"herbal, rich",pale yellow,united states,,"herbaceous, savory, sweet",pasteurized cow's milk,sartori,wisconsin,,,"hard, artisan",,,,,,
1519,sartori-reserve-bellavitano-gold,"fruity, nutty, rich",pale yellow,united states,,"fruity, nutty, sweet",pasteurized cow's milk,sartori,wisconsin,natural,creamy,hard,,,,,,
1520,sartori-reserve-black-pepper-bellavitano,"nutty, rich, spicy",pale yellow,united states,,"creamy, nutty, salty, spicy",pasteurized cow's milk,sartori,wisconsin,natural,creamy,semi-hard,,,,,,
1521,sartori-reserve-chai-bellavitano,"rich, sweet",pale yellow,united states,,"creamy, sweet",pasteurized cow's milk,sartori,wisconsin,natural,creamy,"hard, artisan",,,,,,
1522,sartori-reserve-cheese-mediterranean-fontina,"earthy, herbal",cream,united states,,"garlicky, piquant, spicy, sweet",pasteurized cow's milk,sartori,wisconsin,natural,creamy,"semi-soft, artisan",yes,,,,,
1523,sartori-reserve-dolcina-gorgonzola,"rich, spicy",ivory,united states,blue,"mild, smooth, sweet",pasteurized cow's milk,sartori,wisconsin,natural,creamy and soft,"semi firm, blue-veined",,,,,,
1524,sartori-reserve-espresso-bellavitano,"smokey, sweet",pale yellow,united states,,"smokey , sweet",pasteurized cow's milk,sartori,wisconsin,natural,firm,"semi firm, artisan",,,,,,
1525,sartori-reserve-extra-aged-asiago,rich,pale yellow,united states,,"creamy, nutty",pasteurized cow's milk,sartori,wisconsin,,creamy and crumbly,"hard, artisan",no,,,,,
1526,sartori-reserve-extra-aged-fontina,"lactic, rich",yellow,united states,,"buttery, fruity, mild, tangy",pasteurized cow's milk,sartori,wisconsin,natural,creamy,"hard, artisan",yes,,,,,
1527,sartori-reserve-merlot-bellavitano,"fruity, pleasant, rich",pale yellow,united states,,"creamy, fruity",pasteurized cow's milk,sartori,wisconsin,natural,creamy and crystalline,"semi-hard, artisan",,,,,,
1528,sartori-reserve-raspberry-bellavitano,"fruity, nutty, rich",pale yellow,united states,cheddar,"buttery, creamy, fruity, nutty, sweet",pasteurized cow's milk,sartori,wisconsin,natural,creamy,"hard, artisan",yes,,,,,
1529,sartori-reserve-rosemary-olive-oil-asiago,"fruity, nutty, rich",pale yellow,united states,,"fruity, nutty",pasteurized cow's milk,sartori,wisconsin,,,"hard, artisan",,,,,,
1530,sartori-reserve-sarvecchio-parmesan,"fruity, sweet",yellow,united states,parmesan,"caramel, fruity, nutty",pasteurized cow's milk,sartori,wisconsin,natural,"crumbly, crystalline, dry, flaky and grainy","hard, artisan",yes,,,,,
1531,sbrinz,"aromatic, spicy",yellow,switzerland,swiss cheese,"butterscotch, full-flavored, nutty, spicy, strong, tangy",unpasteurized cow's milk,,"lucerne, schwyz, unterwald, and zoug, and the following additional places",natural,dense and flaky,"hard, artisan",no,,45%,,,
1532,sbronzo,fruity,ivory,italy,,"buttery, creamy, fruity, sweet",water buffalo's milk,casa madaio,campania,natural,creamy and dense,"semi-soft, artisan",,,,,,
1533,scallion-onion-cheddar,strong,pale yellow,united states,cheddar,"full-flavored, spicy",cow's milk,muranda cheese company,ny,natural,crumbly,"semi-hard, artisan",,,,,,
1534,scamorza,"fresh, milky, smokey",white,italy,pasta filata,"milky, smokey",pasteurized cow's and sheep's milk,the mozzarella company,"apulia, campania and molise",natural,"chewy, firm and stringy",semi-soft,no,,,scamorza affumicata,,
1535,schloss,"pungent, strong",straw,united states,,"citrusy, earthy, fruity, full-flavored, meaty, pungent",pasteurized cow's milk,marin french cheeese co.,,washed,"chalky, creamy and smooth","semi-soft, brined",no,,,,,
1536,scotch-bonnet-cheddar,,pale yellow,united kingdom,cheddar,"creamy, spicy, strong",cow's milk,tesco,,plastic,creamy,"hard, processed",,,,,,
1537,sea-change,"fruity, lactic, yeasty",cream,united states,,"buttery, mild, milky",cow's milk,the mystic cheese company,"lebanon, ct",natural,elastic and smooth,"semi-soft, artisan",,,,,,
1538,seahive,floral,pale yellow,united states,cheddar,"salty, sweet",pasteurized cow's milk,beehive cheese company,utah,natural,dry and firm,"hard, artisan",yes,,,,,
1539,seascape,pleasant,pale yellow,united states,,"buttery, caramel, tangy",pasteurized cow's and goat's milk,central coast creamery,california,natural,crumbly and smooth,"semi-hard, artisan",yes,,8 g/100g,,,
1540,seastack,"fresh, milky",white,united states,,"citrusy, earthy, garlicky, tangy",pasteurized cow's milk,mt. townsend creamery,port townsend,ash coated,"creamy, firm, runny and soft","soft, soft-ripened",no,,,,,
1541,seators-orkney,lactic,cream,"great britain, scotland and united kingdom",,acidic,unpasteurized cow's milk,"grimbister farm, neal's yard dairy",orkney islands,,crumbly,"hard, artisan",,,,,,
1542,selles-sur-cher,musty,blue,france,blue,salty,unpasteurized goat's milk,,sologne,ash coated,firm,"soft, processed, whey",yes,,45%,,,
1543,selva,pleasant,pale yellow,spain,,"bitter, buttery, salty",pasteurized cow's milk,,"fornells de la selva, gironès",natural,smooth and supple,"soft, artisan",no,,45%,queso de la selva,,
1544,serat,,,afghanistan,,,sheep's milk,,,,,hard,no,,,,,
1545,seriously-strong-cheddar,"rich, smokey, strong",yellow,"england, scotland and united kingdom",cheddar,"full-flavored, savory, smokey , spicy, tangy",pasteurized cow's milk,,stranraer,natural,"crumbly, dense, firm and flaky",hard,no,,34.4%,"seriously strong spreadable, seriously strong vintage cheddar, seriously strong grated cheddar",740 mg/100g,
1546,serra-da-estrela,,,portugal,,,sheep's milk,,,,,soft,no,,,,,
1547,sgt-pepper,"fresh, spicy",white,united states,,"full-flavored, spicy",pasteurized goat's milk,cypress grove chevre,california,rindless,"creamy, smooth and spreadable",fresh soft,yes,,,,,
1548,shaker-blue,"rich, sweet",ivory,united states,blue,"acidic, creamy, full-flavored, sweet",unpasteurized sheep's milk,old chatham sheepherding company,new york,rindless,creamy,"semi firm, blue-veined",yes,shaker blue,,,,
1549,shanklish,"fresh, pungent, strong",white,"egypt, lebanon and syria",feta,"mild, sharp, spicy, strong",cow's or sheep's milk,grandpa's dairy,,mold ripened,"creamy, crumbly and firm","fresh firm, hard, artisan",no,,,,,
1550,sharon-hollow-garlic-and-chive,"fresh, garlicky",ivory,united states,,"garlicky, milky",pasteurized cow's milk,zingerman's creamery,"ann arbor, michigan",rindless,flaky,"fresh soft, artisan",yes,sharon hollow garlic and pepper,,,,
1551,sharp-cheddar,,pale yellow,united states,cheddar,"sharp, sweet",pasteurized cow's milk,rogue creamery,oregon,natural,creamy and crumbly,"semi-hard, artisan",yes,,,,,
1552,sharpham,fresh,white,england and united kingdom,brie,buttery,unpasteurized cow's milk,sharpham wine & cheese,devon,mold ripened,creamy and smooth,"soft, artisan",yes,,45%,,,
1553,sharpham-elmhirst,"fresh, mild, milky, rich",white,"england, great britain and united kingdom",,"creamy, full-flavored, milky, smooth",unpasteurized cow's milk,sharpham wine & cheese,devon,bloomy,"creamy, smooth, soft, soft-ripened and spreadable","soft, artisan, soft-ripened",yes,,,,,
1554,sharpham-rustic,fresh,white,"england, great britain and united kingdom",,"lemony, nutty",unpasteurized cow's milk,sharpham wine & cheese,devon,natural,creamy,"semi-hard, artisan",yes,,,,,
1555,sharpham-rustic-chive-garlic,"garlicky, nutty, strong",white,"england, great britain and united kingdom",,"creamy, garlicky, savory",unpasteurized cow's milk,sharpham wine & cheese,devon,natural,creamy,"semi-hard, artisan",yes,,,,,
1556,sharpham-savour,fresh,cream,"england, great britain and united kingdom",,"smooth, sweet",unpasteurized cow's and goat's milk,sharpham wine & cheese,devon,natural,"close, creamy and supple","semi-hard, artisan",yes,,,,,
1557,sheep-gouda,,pale yellow,united states,gouda,"caramel, nutty",unpasteurized sheep's milk,fuzzy udder creamery,maine,natural,"compact, crumbly and dense","semi-hard, artisan",,,,,,
1558,shelburne-cheddar,rich,pale yellow,united states,cheddar,strong,unpasteurized cow's milk,shelburne farms,shelburne farms,rindless,firm,"hard, artisan",yes,,51%,,,
1559,shepherdista-crush,"grassy, woody",ivory,united states,,tangy,unpasteurized sheep's milk,bleating heart cheese,california,natural,compact,"firm, artisan",,shepherdista,,,,
1560,shepherds-crook,"rich, sweet",white,england,,"mild, sweet",unpasteurized sheep's milk,wootton organic dairy,somerset,mold ripened,"creamy, smooth and springy","soft, artisan",yes,,48%,,,
1561,shepherds-hope,"aromatic, fresh, herbal",white,united states,,"citrusy, garlicky, herbaceous, mild, milky",pasteurized sheep's milk,shepherd's way farms,minnesota,rindless,"creamy, firm and soft","fresh soft, artisan",yes,,,,,
1562,shepsog,"earthy, nutty, rich, sweet",yellow,united states,,"nutty, sweet",unpasteurized cow's and sheep's milk,grafton village cheese company,vermont,natural,buttery,semi firm,,,,,,
1563,ships-wheel-brie,"mild, nutty",,australia,brie,"mild, nutty",cow's milk,boatshed cheese,"mornington peninsula, melbourne",,creamy,artisan,yes,,,,,
1564,shredded-bliss,"fresh, mild",pale yellow,canada and united states,mozzarella,"mild, milky",,,,plastic,"elastic, smooth, springy and stringy",semi-soft,yes,"lactose & soy free mozzarella shreds, dairy free mozzarella shreds, lactose free mozzarella shreds",,,,
1565,shropshire-blue,"rich, strong",orange,great britain,blue,"creamy, full-flavored, sharp, strong, tangy",pasteurized cow's milk,"long clawson dairy limited, various",leicestershire,natural,creamy and smooth,semi-soft,yes,"inverness-shire blue,  shropshire blue cheese, blue stuart",48%,,,
1566,shtayburne-farm-cheddar,,yellow,united states,cheddar,"creamy, garlicky, sharp, smokey , smooth, spicy",pasteurized cow's milk,shtayburne farm,ny,natural,creamy and smooth,"hard, artisan",,,,,,
1567,shtayburne-farm-monterey-jack,,pale yellow,united states,monterey jack,"creamy, garlicky, herbaceous, smooth, spicy, sweet, tangy",pasteurized cow's milk,shtayburne farm,ny,natural,"compact, creamy, soft and supple","semi-hard, artisan",,,,,,
1568,sicilian-blend,,pale yellow,united states,parmesan,"piquant, savory, sharp, spicy",pasteurized cow's milk,sartori,wisconsin,natural,"crumbly, dry and firm","hard, artisan",yes,,,,,
1569,siltcoos,"clean, fresh",ivory,united states,,"spicy, strong",goat's milk,rivers edge chèvre,coast of oregon,ash coated,soft,"soft, artisan",,,,,,
1570,sirene,strong,white,"albania, bulgaria, croatia, greece, israel, macedonia, romania and serbia",feta,"lemony, salty, sharp, tangy","pasteurized or unpasteurized cow's, goat's and sheep's milk",,trakia,natural,"crumbly, grainy and smooth","fresh soft, brined",no,sirenje,,,,
1571,sleightlett,"goaty, lactic",white,"england, great britain and united kingdom",,"citrusy, lemony, nutty",unpasteurized goat's milk,"mary holbrook, neal's yard dairy","timsbury, somerset",mold ripened,"creamy, fluffy and smooth","fresh soft, artisan",no,,,,,
1572,slices-of-bliss,,yellow,canada and united states,cheddar,"creamy, savory, sharp, spicy",,go veggie!,,plastic,creamy,soft,yes,"lactose free slices, dairy free slices, lactose & soy free slices",,,,
1573,smoked-fior-di-latte,smokey,brownish yellow,australia,mozzarella,"smokey , smooth, tangy",pasteurized cow's milk,paesanella cheese manufacturers,new south wales,rindless,"elastic, firm and smooth","semi-soft, brined",yes,,18.6 g/100g,,,
1574,smoked-gouda,smokey,pale yellow,holland and netherlands,gouda,smokey,pasteurized or unpasteurized cow's milk,,"south holland, gouda",waxed,buttery and crumbly,"hard, artisan",no,,7 g/100g,,,
1575,smoked-sulguni,smokey,yellow,georgia,pasta filata,"salty, smokey","pasteurized cow's, goat's and water buffalo's milk",colchis ltd,samegrelo,natural,"dense, elastic and springy",semi firm,,,52%,shebolili megruli sulguni,,
1576,smokey-jalapeno,,golden orange,canada,,"creamy, mild, spicy",,zengarry vegetarian cuisine,ontario,,creamy and firm,"semi firm, artisan",yes,,,,,
1577,smokey-mountain-round,"aromatic, lactic",white,united states,,"savory, woody",pasteurized goat's milk,goat lady dairy,north carolina,natural,compact,"semi-soft, artisan",yes,,,,,
1578,smokey-oregon-blue,"milky, nutty, smokey",pale yellow,united states,blue,"caramel, earthy, savory, sharp, sweet",unpasteurized cow's milk,the rogue creamery,oregon,natural,dense and firm,"semi-hard, blue-veined",yes,,,,,
1579,smokey-touvelle,"mild, smokey",pale yellow,united states,cheddar,"nutty, sweet, tangy",pasteurized cow's milk,rogue creamery,oregon,natural,crumbly and firm,"semi-hard, artisan",yes,,,,,
1580,snow-camp,buttery,ivory,united states,,"buttery, creamy",pasteurized cow's and goat's milk,goat lady dairy,north carolina,bloomy,soft,semi firm,yes,,,,,
1581,snowdrop,"clean, grassy, lactic",white,united states,camembert,"creamy, mild, tangy",pasteurized goat's milk,haystack mountain goat dairy,colorado,bloomy,"creamy, runny and soft","soft, artisan, soft-ripened",yes,,,,,
1582,sofia,,cream,united states,,"citrusy, creamy, sweet, tangy",pasteurized goat's milk,capriole goat cheese,indiana,mold ripened,"close, creamy, dense, soft and soft-ripened","soft, artisan, soft-ripened",no,,,,,
1583,somerset-brie,"fresh, grassy, mushroom",white,england and united kingdom,brie,mild,pasteurized cow's milk,lactalis mclelland ltd,somerset,natural,creamy and smooth,"soft, artisan",yes,,,,,
1584,sonnet,rich,,united states,,"lemony, smooth",goat's and sheep's milk,tieton farm & creamery,"tieton, washington",bloomy,smooth and spreadable,"soft, artisan",,,,,,
1585,sonoma-jack,"aromatic, earthy, herbal, mild",pale yellow,united states,monterey jack,"buttery, herbaceous, mild, mushroomy, nutty, sharp, spicy",pasteurized cow's milk,vella cheese company,"sonoma, california",natural,"brittle, creamy, crumbly, firm, open and supple","semi-hard, hard",yes,,,,,
1586,sosha,"pungent, strong",white,"china, nepal and tibet",,"pungent, strong",goat's or yak's milk,,tibet,natural,creamy,"soft, artisan",,churul,,,,
1587,sottocenere-al-tartufo,aromatic,pale yellow,italy,,"creamy, salty, savory",pasteurized cow's milk,,veneto,natural,firm and smooth,"semi-soft, artisan",no,italian truffle cheese,,,,
1588,soumaintrain,pungent,ivory,france,,"full-flavored, mild, salty, sweet",unpasteurized cow's milk,fromagerie berthaut,burgundy,washed,"close, creamy and smooth","soft, artisan",no,,53.33%,soumaintrain aoc,,
1589,sourire-lozerien,musty,white,france,,"mild, sweet",pasteurized cow's milk,sarl laiterie rissoan,cevenes,natural,creamy and smooth,"semi-soft, artisan",no,,25%,,,
1590,spenwood,,pale yellow,england and united kingdom,parmesan,"nutty, sweet",unpasteurized sheep's milk,village maid cheese,berkshire,natural,dense and smooth,"hard, artisan",yes,,50%,,,
1591,speziato,aromatic,ivory,italy,,"earthy, spicy",pasteurized cow's milk,la casearia carpenedo s.r.l.,veneto,natural,compact,soft,no,,,tartufino speziato,,
1592,squaquerone-di-bufala,"pleasant, subtle",white,italy,,"acidic, piquant, subtle, sweet",pasteurized water buffalo's milk,azienda agricola gritti bruno e alfio s.s. societa agricola,lombardy,rindless,"creamy, soft and spreadable","fresh soft, artisan",no,,,,,
1593,sraffordshire-organic,,yellow,"england, great britain and united kingdom",,,unpasteurized cow's milk,staffordshire dairy,staffordshire,,creamy and smooth,"hard, artisan",yes,,48%,staffordshire organic cheese,,
1594,st-fidele-swiss,"aromatic, sweet",ivory,canada,swiss cheese,"nutty, sweet",pasteurized cow's milk,fromagerie st-fidèle,quebec,rindless,"elastic, firm and open",semi-hard,,"suisse st-fidèle léger, la belle brune",17%,suisse st-fidèle,,
1595,st-gall,"fruity, mild, milky, nutty, rich, yeasty",yellow,ireland,swiss cheese,"fruity, mild, milky, nutty, smooth, yeasty",unpasteurized cow's milk,cais cheesemakers association ltd,co. cork,natural,"creamy, smooth, soft and springy","hard, brined",no,,,,,
1596,st-jude,"fresh, milky",white,"england, great britain and united kingdom",brie,"citrusy, lemony, milky",unpasteurized cow's milk,"neal's yard dairy, white wood dairy","bungay, suffolk, england",mold ripened,"creamy, fluffy, runny and soft","soft, artisan, soft-ripened",no,,,,,
1597,st-killian,"aromatic, mushroom",pale yellow,ireland,brie,"mushroomy, salty",pasteurized cow's milk,"carrigbyrne house, adamstown, co. wexford","adamstown, co wexford",bloomy,creamy,"semi-soft, artisan",yes,,,,,
1598,st-mang-original-allgauer-limburger,"mild, spicy",pale yellow,germany,,spicy,pasteurized cow's milk,käserei champignon,allgäu,natural,creamy,"soft, artisan",yes,"st. mang original allgaeuer romadur, st. mang masterpiec",,,,
1599,st-pat,"rich, smokey",pale yellow,united states,,"full-flavored, mellow",pasteurized cow's milk,cowgirl creamery,california,bloomy,creamy and soft,"semi-soft, artisan",yes,,,,,
1600,st-tola-ash-log,,white,ireland,,full-flavored,pasteurized or unpasteurized goat's milk,inagh farmhouse cheese ltd,"inagh, co clare",ash coated,smooth,"soft, artisan",no,,18.2 g/100g,,,
1601,st-tola-cranberry,"fresh, fruity",white,ireland,,"creamy, fruity, full-flavored, sweet",pasteurized or unpasteurized goat's milk,inagh farmhouse cheese ltd,"inagh, co clare",mold ripened,"compact, creamy, smooth and soft","fresh soft, artisan",no,,18.2 g/100g,,,
1602,st-tola-crottin,"floral, fresh",white,ireland,,"lemony, sweet",pasteurized or unpasteurized goat's milk,inagh farmhouse cheese ltd,"inagh, co clare",rindless,smooth and soft,"fresh soft, artisan",no,,13.5 g/100g,,,
1603,st-tola-divine,"floral, mild, milky",white,,,"lemony, mild, milky",pasteurized goat's milk,inagh farmhouse cheese ltd,"inagh, co clare",rindless,"creamy, soft and spreadable","fresh soft, artisan",no,,14 g/100g,,,
1604,st-tola-greek-style,goaty,white,ireland,feta,"creamy, salty",pasteurized or unpasteurized goat's milk,inagh farmhouse cheese ltd,"inagh, co clare",rindless,open,"semi-soft, brined, whey",,,18.2 g/100g,,,
1605,st-tola-hard-cheese,,cream,ireland,gouda,"nutty, sweet, tangy",pasteurized or unpasteurized goat's milk,inagh farmhouse cheese ltd,"inagh, co clare",waxed,"compact, crumbly, dense and smooth","hard, artisan",no,,36 g/100g,,,
1606,st-tola-log,"floral, fresh, rich",white,ireland,,"creamy, full-flavored, sweet",pasteurized or unpasteurized goat's milk,"inagh farmhouse cheese ltd, neal's yard dairy","inagh, co clare",mold ripened,"compact, creamy, firm, grainy and smooth","fresh soft, soft, artisan",no,,,"st tola original, st tola log fresh, st tola log mature",,
1607,stawley,"mushroom, nutty",pale yellow,"england, great britain and united kingdom",,"caramel, floral, milky, sweet",unpasteurized goat's milk,"hill farm dairy, neal's yard dairy","stawley, near wellington, somerset",mold ripened,"dense, firm and smooth",soft,no,,,,,
1608,stella-asiago,"fresh, mild, rich",cream,italy,,"nutty, sharp, smooth, sweet",pasteurized cow's milk,stella,asiago,natural,"buttery, creamy and crumbly","semi-hard, artisan",yes,,,,,
1609,stella-black-pepper-romano,"pleasant, spicy",pale yellow,united states,,"piquant, salty, sharp",pasteurized cow's milk,stella,wisconsin,natural,"compact, crumbly and flaky","hard, artisan",yes,,,,,
1610,stella-blue,rich,white,united states,blue,tangy,pasteurized cow's milk,stella,wisconsin,natural,crumbly,"semi-soft, artisan",yes,stella blue cheese crumbles,,,,
1611,stella-feta,fresh,white,united states,feta,"tangy, tart",pasteurized cow's milk,stella,wisconsin,natural,crumbly and firm,"firm, artisan, whey",yes,,,,,
1612,stella-fontina,"earthy, mild",pale yellow,united states,,"buttery, sweet",pasteurized cow's milk,stella,wisconsin,natural,creamy and open,"semi-soft, artisan",yes,,,,,
1613,stella-fontinella,,pale yellow,united states,,"creamy, sharp, smooth, sweet",pasteurized cow's milk,stella,,natural,crumbly,"semi-hard, artisan",yes,,,,,
1614,stella-goat,"mild, pleasant",cream,united states,,tangy,pasteurized goat's milk,stella,wisconsin,natural,crumbly,"semi-hard, artisan",yes,,,,,
1615,stella-gorgonzola,pleasant,cream,united states,gorgonzola,"earthy, mellow, tangy",pasteurized cow's milk,stella,,natural,creamy,"semi-soft, blue-veined",yes,,,,,
1616,stella-italian-sharp,strong,pale yellow,united states,,"creamy, full-flavored, sharp",pasteurized cow's milk,stella,,natural,creamy,"semi-soft, artisan",no,,,,,
1617,stella-kasseri,strong,pale yellow,united states,,"salty, sharp, tangy",pasteurized cow's milk,stella,wisconsin,natural,firm,"semi-hard, artisan",yes,,,,,
1618,stella-mediterranean-parmesan,nutty,,united states,parmesan,"buttery, earthy, garlicky, savory, spicy",pasteurized cow's milk,stella,wisconsin,natural,"buttery, crumbly and flaky","hard, artisan",yes,,,,,
1619,stella-parmesan,,pale yellow,united states,parmesan,"nutty, subtle",pasteurized cow's milk,stella,,natural,"crumbly, dense and grainy","hard, artisan",yes,,,,,
1620,stella-parmesan-romano-blend,nutty,cream,united states,parmesan,"salty, sharp",pasteurized cow's milk,stella,wisconsin,natural,crumbly and flaky,"hard, artisan",yes,,,,,
1621,stella-reduced-fat-blue,pleasant,white,united states,blue,full-flavored,pasteurized cow's milk,stella,wisconsin,natural,crumbly,"semi-soft, artisan",yes,,,,,
1622,stella-smoked-blue,"pleasant, smokey",white,united states,blue,"creamy, subtle",pasteurized cow's milk,stella,wisconsin,natural,creamy and crumbly,"semi-soft, artisan",yes,,,,,
1623,stella-swiss,"mild, pleasant",cream,united states,swiss cheese,"nutty, tangy",pasteurized cow's milk,stella,wisconsin,natural,"creamy, open and smooth","semi-soft, artisan",yes,natural baby swiss cheese,,,,
1624,sternschnuppe,"caramel, herbal, nutty, rich",golden yellow,germany,,"buttery, fruity",unpasteurized cow's milk,käsküche isny,"allagau, bavarian alps",washed,buttery and firm,"firm, artisan",no,shooting star,,,,
1625,stichelton,rich,ivory,"england, great britain and united kingdom",blue,"buttery, caramel, creamy, savory, spicy, sweet",unpasteurized cow's milk,stichelton dairy ltd,nottinghamshire,mold ripened,creamy,"semi-soft, artisan, blue-veined",no,,,,,
1626,stickney-hill-chevre,"goaty, mild, milky",white,united states,,"garlicky, herbaceous, spicy, tangy",pasteurized goat's milk,stickney hill dairy,kimball,natural,crumbly and spreadable,"semi-soft, artisan",yes,,,,,
